Skrót;Country;TME;G1
AT;Austria;0,51433424;1
BE;Belgium;0,52650947;1
BG;Bulgaria;0,08740403;2
CY;Cyprus;0,17075388;2
CZ;Czech Republic;0,43768689;1
DE;Germany;0,71384191;1
DK;Denmark;0,6776567;1
EE;Estonia;0,36778854;4
ES;Spain;0,38660694;3
FI;Finland;0,64411053;1
FR;France;0,57958417;1
GR;Greece;0,13169384;2
HR;Croatia;0,22412535;3
HU;Hungary;0,27948305;4
IE;Ireland;0,45666358;1
IT;Italy;0,26108469;2
LT;Lithuania;0,26725768;3
LU;Luxembourg;0,49167028;1
LV;Latvia;0,19025429;4
MT;Malta;0,31777914;3
NL;Netherlands;0,57868981;1
PL;Poland;0,26936794;3
PT;Portugal;0,2455438;3
RO;Romania;0;2
SE;Sweden;0,65157339;1
SI;Slovenia;0,40220627;4
SK;Slovakia;0,35798071;3
UK;United Kingdom;0,57627478;1
