Skrót;Country;TME
AT;Austria;0,5245938
BE;Belgium;0,50351388
BG;Bulgaria;0,03976605
CY;Cyprus;0,11437848
CZ;Czech Republic;0,43867633
DE;Germany;0,71744118
DK;Denmark;0,6480736
EE;Estonia;0,46034014
ES;Spain;0,38741867
FI;Finland;0,58626467
FR;France;0,53666456
GR;Greece;0,17463507
HR;Croatia;0,23610487
HU;Hungary;0,22771379
IE;Ireland;0,46555568
IT;Italy;0,25032612
LT;Lithuania;0,23279019
LU;Luxembourg;0,44423638
LV;Latvia;0,22510095
MT;Malta;0,2909966
NL;Netherlands;0,57857815
PL;Poland;0,25187663
PT;Portugal;0,20532354
RO;Romania;0,05127704
SE;Sweden;0,6241332
SI;Slovenia;0,37993648
SK;Slovakia;0,34307642
UK;United Kingdom;0,59871458
