COUNTRY;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14
Austria;82;9;81;87;13;58;57;15;3,05;43562;1,6458;1,56;6,2;48,6
Belgium;82;19;79;87;13;55;52;25;2,43;53178;1,5727;1,13;4,6;50,5
Bulgaria;59;24;59;65;35;18;18;6;0,95;14236;0,6876;0,59;3,9;36,3
Croatia;77;39;76;74;26;31;35;20;0,83;6367;0,5708;1,64;3,2;36,2
Cyprus;71;48;71;74;26;23;34;11;0,48;856;0,3016;0,82;0,8;49,3
Czech Republic;79;20;76;87;13;45;32;24;1,92;38081;1,2773;1,43;11,2;38,1
Denmark;92;8;84;97;3;79;88;26;3,06;42826;2,1492;1,84;5,2;54,6
Estonia;88;14;87;91;9;59;81;13;1,47;4187;0,8618;1,72;3,6;47,9
Finland;90;22;90;94;5;69;79;16;2,87;37516;1,9499;1,68;4,7;56,5
France;83;29;76;89;11;65;63;16;2,23;279470;1,4497;1,14;4,4;50
Greece;68;12;67;70;30;32;46;6;0,97;34708;1,0492;0,97;1,3;36,1
Spain;79;27;78;81;19;42;49;17;1,22;122437;0,8823;1,28;4;42,7
Netherlands;96;17;94;96;4;71;75;17;2,15;83488;1,5495;1,58;2,8;53,6
Ireland;85;13;83;84;16;51;50;32;1,18;22227;1,4457;0,96;5,3;54,2
Lithuania;68;24;67;75;25;32;44;18;1,04;8167;0,7397;0,93;2,1;48,2
Luxembourg;97;17;95;98;2;78;70;7;1,25;2610;1,9197;1,53;0,8;58,8
Latvia;76;16;74;82;18;38;52;9;0,62;3613;0,5772;0,49;1,6;42,4
Malta;81;15;81;79;21;51;42;16;0,72;820;0,6902;0,65;3,4;40,2
Germany;90;26;88;90;10;73;53;25;2,93;387982;1,5831;1,99;9,9;47,7
Poland;76;19;71;73;27;37;27;10;1;82594;0,6511;0,98;5,3;41,6
Portugal;70;40;69;72;28;31;43;19;1,24;38672;0,985;0,79;3;34,8
Romania;68;24;65;68;32;11;11;8;0,49;17459;0,3899;0,71;5,6;27
Slovakia;79;10;78;84;16;50;51;13;1,16;14406;0,6294;0,91;10,6;33,5
Slovenia;78;25;78;78;22;39;45;16;2,2;7900;1,4456;0,84;9,4;45,1
Sweden;91;14;83;94;5;71;73;26;3,22;66734;1,6717;1,58;4,4;56,2
Hungary;76;50;75;79;21;36;42;11;1,34;25316;0,7998;0,55;9,1;36,7
United Kingdom;91;16;90;94;6;81;49;20;1,65;284483;1,3037;1,25;3,6;55,5
Italy;75;14;74;70;28;26;24;7;1,34;125875;1,0521;1,01;6,1;35,5
